year	amnh_amcc_tissue	sample_code	used_for_species_delimitation	host_family	host_genus	host_species	host_genus_species	host_weight	host_sex	site	site_lat	site_long	leuco_lin_1	leuco_lin_2	tissue_or_blood	leuco_morphotype
2017	252377	GFB3779	yes	Parulidae	Setophaga	coronata	Setophaga_coronata	11.50	M	Elliot1	65.28899	-149.29083	CNEORN01		tissue	no_smear
2017	252380	GFB3780		Turdidae	Catharus	ustulatus	Catharus_ustulatus	26.50	M	Elliot1	65.28899	-149.29083	CATMIN02	CATUST29	tissue	
2017	252381	GFB3781	yes	Fringillidae	Acanthis	flammea	Acanthis_flammea	10.50	M	Elliot1	65.28899	-149.29083	ROFI06		tissue	no_smear
2017	252384	GFB3782		Turdidae	Catharus	ustulatus	Catharus_ustulatus	23.50	M	Elliot1	65.28899	-149.29083	CATUST09	CATUST28	tissue	
2017	252388	GFB3783		Parulidae	Parkesia	noveboracensis	Parkesia_noveboracensis	15.00	M	Elliot1	65.28899	-149.29083	PARNOV01	ZOLEU02	tissue	
2017	252391	GFB3784		Emberizidae	Melospiza	lincolnii	Melospiza_lincolnii	13.50	M	Elliot1	65.28899	-149.29083			tissue	
2017	252394	GFB3785		Turdidae	Turdus	migratorius	Turdus_migratorius	69.00	M	Elliot1	65.28899	-149.29083	TUMIG19		tissue	
2017	252406	GFB3786		Turdidae	Catharus	ustulatus	Catharus_ustulatus	29.00	M	Elliot1	65.28899	-149.29083	CATMIN02	CATUST29	tissue	
2017	252398	GFB3787		Parulidae	Oreothlypis	celata	Oreothlypis_celata	9.60	F	Elliot1	65.28899	-149.29083	CATUST28		tissue	
2017	252400	GFB3788	yes	Parulidae	Setophaga	coronata	Setophaga_coronata	10.50	F	Elliot1	65.28899	-149.29083	CNEORN01		tissue	no_smear
2017	252403	GFB3789		Parulidae	Oreothlypis	celata	Oreothlypis_celata	9.50	M	Elliot1	65.28899	-149.29083	CATMIN02	CNEORN01	tissue	
2017	252404	GFB3790		Fringillidae	Acanthis	flammea	Acanthis_flammea	13.50	F	Elliot1	65.28899	-149.29083			tissue	
2017	252408	GFB3791		Fringillidae	Acanthis	flammea	Acanthis_flammea	11.50	M	Elliot1	65.28899	-149.29083	ACAFLA03	ROFI06	tissue	
2017	252412	GFB3792		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	23.00	M	Elliot1	65.28899	-149.29083	ZOLEU02		tissue	
